,House Title,Location,Date,Link,Price,Bedrooms,Sqft,House Description
11,Specious 1BR AP uptown central,New Westminster,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-specious-1br-ap-uptown/6952472386.html,1550,1,720.0,"

QR Code Link to This Post


Corner bright unit, located in the second floor of 3 story lowrise building in the central uptown New West. Across from Walmart, Mall and other shopping centers. Location is perfect for a person who needs to reside in the middle of coffee shops, Tim Horton, and Save on Food. This unit apartment has been upgraded with a clean look . Monthly rent of $1550 included hot water, heat and extra Storage room, access to laundry machines. NO PET. AVAILABLE IMMEDIATELY. Parking is can be rented separately if required.
Plz email your contact number if you are serious or text  show contact info
 for booking an appointment to view.
Please do NOT contact me with unsolicited services or offers    "
12,"BRAND NEW! 1br suite near SFU, PVT ent, fully FURNISHED, central A/C","North Burnaby (2 mins to bus stop, 10 mins to SFU & sky trai",Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-1br-suite-near-sfu/6950922532.html,1150,1,450.0,"

QR Code Link to This Post


Hi there, 

If this ad is still up, the place is still available, please read thoroughly.

We are empty nesters looking for A MATURE, CLEAN, quiet and considerate renter (single occupancy only) for our bright, spacious 1 bedroom in-law suite BEGINNING SEPT 1st. 

The suite has never been lived in and has been furnished with almost all brand new appliances and furniture. 

There is a microwave and large toaster oven, but NO STOVE so best for someone who is busy and doesn't have much time to cook.

- PRIVATE entrance
- all kitchen necessities (as pictured) 
- microwave, toaster oven, kettle, fridge/freezer
- expandable table
- CENTRAL heating and air conditioning
- street parking available
- High-speed WIFI
- TV (no cable) available upon request
- Includes utilities

- 2 min walk to bus stop
- 10 min drive or bus to SFU 
- 10 min walk to sky train
- 10 min walk to Greystone village (grocery store etc)
- Easy access to Hwy 1, BCIT, SFU, Lougheed & Brentwood malls

We are looking for someone who is clean, responsible and will take care of the place like it's their own. There is no in-suite laundry so please be aware.

NO SMOKING, DRUGS, PARTIES OR PETS ALLOWED. 

IDEAL FOR A MATURE STUDENT OR PROFESSIONAL. 

Please contact us to book a viewing and tell us a bit about yourself and your lifestyle, serious inquiries only please.

Proof of employment or enrollment in course program, references and security deposit are required. Possible background check, credit check, guarantor(s), Student ID, passports may be required.    "
13,Brand New Escala Sub-Penthouse 1 Bed 1 Bath,Brentwood,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-escala-sub-penthouse/6948738097.html,2200,1,,"

QR Code Link to This Post


Suite 4109-1788 Gilmore Avenue

-NE facing with ridiculous mountain views (pictures coming soon!)
-41st floor(highest possible 1 bedroom suite)
-insuite washer/dryer
-parking spot and storage locker included
-upgraged walk in shower
-9 foot ceilings 
-unfurnished 
-15000 sq ft of amenities includes:
---Indoor Pool & Spa
---Steam and Sauna Rooms
---Private Fitness Room & Yoga Studio
---Stylish Fireside Social Lounge
---State of the Art Catering Kitchen
---Billiards and Ping Pong Tables
---Movie Theatre
---Music Room
---Two Private Hotel-Style Guest Suites
---Resident Only Concierge


-Available Sept 10(due to possession date)(first months rent will be adjusted to reflect)
-$2200/month (plus utilities)
-1 year lease required, then month to month
-no smoking
-small pets considered 
-renters insurance required 
-references, employment confirmation, credit check required 

Thank  you!    "
14,2 bed 2 bath Burnaby metro for rent,Metrotown,Aug  8,https://vancouver.craigslist.org/bnc/roo/d/burnaby-2-bed-2-bath-burnaby-metro-for/6952470761.html,900,,900.0,"

QR Code Link to This Post


2 bedroom above-ground basements for rent with private bathrooms and private entrance/exits. Prime location in metrotown area. 10 minute walking distance to royal oak station, and 2 minutes to 119 bus.  Laundry on site, kitchen with fridge and microwave. Huge closets. Otherwise not furnished. Looking to rent to individuals for $900 each or both rooms (families/couples) for $1700. Utility included. Wifi available. Please text.    "
15,Spacious 2 bedroom apt for rent,New Westminster,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-spacious-2-bedroom-apt/6952469862.html,1700,2,841.0,"

QR Code Link to This Post


Two bedroom apt for rent October 1, 2019. For more information, please call or text Thierry at  show contact info
.    "
16,Bright and big furnished upper level suite in a house,Burnaby,Aug  8,https://vancouver.craigslist.org/bnc/roo/d/burnaby-bright-and-big-furnished-upper/6952464514.html,750,,,"

QR Code Link to This Post


For one person, 
furnished, including basic WiFi , hydro, share kitchen and laundry.

Bright and big bedroom suite with bathroom on second floor .
Very clean and laminate floor.

Quiet and beautiful neighborhood next to Robert Burnaby Park and close to all amenities.

Walk to the 101, 106 bus station to skytrain station.

Please inform me with your basic :
Move in date
Length of stay
Age and gender
Student or work    "
17,2 bedroom/1.5 bath townhouse,Burnaby,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-2-bedroom-15-bath-townhouse/6949921580.html,2100,2,1010.0,"

QR Code Link to This Post


* Newly painted, Ready to move in. 
* Newly done Roof top deck.
* Hot water included
* InSuite Laundry,
* Range, Refrigerator and Dishwasher
* 2 tandem vehicle parking spots
* Storage Locker. Inside the suite, there is additional storage space under the stairs
* 5 mins walk from Edmonds sky train station.
* 5 mins from Highgate mall, Market Place Crossing.
* Walking distance to Stride Elementary, Taylor Park Elementary.
"
18,BRENTWOOD 2 BEDOOM 2 BATHROOM APARTMENT ON THE 22ND FLOOR WITH BREATHT,"Brentwood, Burnaby, BCIT, Meterotown, Vancouver",Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-2-bedoom-2-bathroom/6950777937.html,2500,2,890.0,"

QR Code Link to This Post


Call Ellen at 6 0 4 - 8 0 3 - 0 1 1 8 to book your private viewing appointment.

Address:	        2201 - 2345 Madison Ave, Burnaby BC
Level: 		1
Price: 		$2500/month   
Parking:	        Underground garage 
Size: 		890 sqft 
Bedroom:	2
Bathroom: 	2
Lease:		min 1 year
Available:	September 1, 2019
Contact:	          show contact info


School:	Brentwood Park Elementary
		Simon Fraser University
		BCIT

The Burnaby Brentwood 2 bedroom 2 bathroom apartment on the 22nd floor is available for rent starting September 1, 2019

OMA is a complex in Burnaby, features a beautiful recreation facility with an indoor pool, hot tub and gym.  Located closest to Gilmore Skytrain station and within close walking distance to Winners / Save On Foods centre as well as closely located to Brentwood Town Centre.  Minutes away from SFU, Metrotown / downtown core is just 15 minutes away. 

The apartment has 2 good size bedroom, 2 bathroom, floor to ceiling windows, 9 foot ceilings, balcony with breathtaking views, fireplace, open kitchen with stainless steel appliances, granite countertops and fully equipped appliances including dishwasher, fridge, stove, microwave and garburator. 

* Included appliances: microwave, fridge, stove, oven, washer dryer, dishwasher
* references and credit check required 
* returnable damage deposit (half of month's rent) 
* Absolutely no smoking or pets

Call Ellen at 6 0 4 - 8 0 3 - 0 1 1 8 to book your private viewing appointment.
"
19,Room for rent near SFU,burnaby,Aug  8,https://vancouver.craigslist.org/bnc/roo/d/burnaby-room-for-rent-near-sfu/6952454900.html,600,,,"

QR Code Link to This Post


girls only
near Hastings & Willingdon
17 minutes to SFU via B-line 95
2 blocks to park and library
2 blocks to businesses and restaurants 
one bus to downtown or Metrotown
quiet, nice neighbourhood
first floor with natural light
utilities and wifi included
shared laundry
"
20,River View Condo for Rent!,New Westminster,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-river-view-condo-for/6950934226.html,2300,2,,"

QR Code Link to This Post


For Rent! Available now! 

This beautiful river view 2 bedroom, 2 bathroom condo in New Westminster features top of the line stainless steel appliances, dark wood shaker cabinets with plenty of storage, granite counter tops, plenty of natural light and laminate flooring throughout living and dining areas. Spacious master bedroom with walk through closet and ensuite bathroom including luxury soaker tub. Private balcony- great for year round bbq! Also includes in suite laundry, one parking and one storage unit. 

Located in New Westminster with plenty of amenities such as easy access to transit, various restaurants, local markets, parks and walking trails, and fantastic schools.

Rent is $2300 per month plus utilities. No smoking and no pets. 

Please call Kate- Royal Lepage Sterling Realty  show contact info
"
21,North Burnaby (SFU/FIC) One-Bedroom ground floor suite,kensington,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-north-burnaby-sfu-fic-one/6952449434.html,1250,1,430.0,"

QR Code Link to This Post


$1250 / 1Bedroom Suite Located at Kensington area. 
New builded house with separate entrance in a very nice quiet neighbourhood.

3~4 mins walk to BUS stop for SFU(10mins bus ride)
2 mins walk to another BUS stop for Brentwood Town Centre(11mins), Sperling Skytrain Station (10 mins) 
4~5 mins walk to Kensington Park or Burnaby North School
3 mins walk to Kensington Squre (grocery, coffee shop, banks, restaurants etc)

Rent includes details:
-430 Sqft, Brand new 1Bedroom Ground floor suite, Separate entrance.
-Appliances included fridge, microwave, powerful range, stove, in-suite washer & dryer and basic furnitures. 
-Great lighting and bedroom with window.
-Street parking available. 
-Utilities  (Electricity + Heat + A/C + gas included). 
-Wireless 100mbps Internet.
-Fire Extinguisher and alarm security for your safety.


Looking for QUIET & CLEAN and responsible student.  Please note the one-bedroom suite is build with limited entertain space, so it would be for One Person living ONLY.  Long-term stay (12 month lease minimum)

**No party, No smoking, No drugs, No marijuana, No Pets allowed, **
(Will be ask to provide references and a credit report.)

AVAILABLE end of Aug, 2019 


To set up a viewing time, please contact by email and tell me a bit about yourself please.    "
22,One bedroom plus den @ Marquis Grand,Brentwood / North Burnaby,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-one-bedroom-plus-den-marquis/6950019105.html,1950,1,856.0,"

QR Code Link to This Post


**AVAILABLE SEPTEMBER  1St.**

One bedroom plus den at the “MARQUIS GRANDE” 
Large covered balcony
One assigned underground parking stall and one locker.
Stainless steel appliances
Granite counters
Hardwood floors in main living area.
in-suite laundry
Outdoor pool
Gym facility, sauna, steam room.
Steps away from Skytrain and Brentwood Mall.

MINIMUM ONE YEAR LEASE
NO SMOKING 
NO PETS
REFERENCES AND CREDIT CHECK REQUIRED
TENANT INSURANCE IS REQUIRED
UTILITIES ARE THE RESPONSIBILITY OF TENANT.
Home #  show contact info

Cell #  show contact info




"
23,Brand New Elegant 1 Bed at Riversky by Bosa-View! Ready NOW,908 Quayside Drive,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-southwest-brand-new/6946766823.html,1750,1,575.0,"

QR Code Link to This Post


Riversky--1912, 908 Quayside Drive New Westminster Downtown River

Property Features:

SQ.FT.: 575

Year Built: 2019

Rent: $1750

•Balcony with Amazing Views!
•High end Finishings
•Brand New 1 bed 1 Bath
•Top Appliances
•Built-in Murphy Bed in Ling
•Built-in Dining Dining Table the comes out of the Island
•Secured Parking Included
•Secured Storage Locker Included

Amenities

•Fitness Studio
•Fireside Lounge
•Rooftop Terrace
•Owners Lounge

A private fitness room and entertainment lounge on site, the shops and restaurants of River Market next door, SkyTrain just around the corner, and the boardwalk at your front steps. 

Available NOW!  One year lease, then month to month.

NO smoking, sorry NO PETS allowed and no Subletting

*Credit, Employment, and previous landlord references will be checked *

To set up a viewing time, please contact our Property Manager Jorge via Email at:  show contact info
 including your name, phone number and the address of the property you are inquiring about.

Please also visit our website at www.ranchovan.com for additional rental listings. 

Rancho Management Services (B.C.) Ltd.    "
24,Brand New Elegant 2 Bed by Bosa Riversky-Available NOW,908 Quayside Drive New Westminster,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-southwest-brand-new/6942188210.html,2100,2,760.0,"

QR Code Link to This Post


Riversky--1211, 908 Quayside Drive New Westminster Downtown River

 Property Features:

 SQ.FT.: 760

 Year Built: 2019

 Rent: $2100

•Balcony with Amazing Views!
•High end Finishings
•Brand New 2 Bed 1 Bath
•Top Appliances
•Secured Parking Included
•Secured Storage Locker Included

 Amenities

•Fitness Studio
•Fireside Lounge
•Rooftop Terrace
•Owners Lounge

 A private fitness room and entertainment lounge on site, the shops and restaurants of River Market next door, SkyTrain just around the corner, and the boardwalk at your front steps. 

 Available NOW! One year lease, then month to month.

 NO smoking, sorry NO PETS allowed and no Subletting

 *Credit, Employment, and previous landlord references will be checked *

 To set up a viewing time, please contact our Property Manager Jorge via Email at:  show contact info
 including your name, phone number and the address of the property you are inquiring about.

 Please also visit our website at www.ranchovan.com for additional rental listings. 

 Rancho Management Services (B.C.) Ltd.    "
25,New 2 Bed & Den at Parkside--Spacious with Nice Views-Ready NOW!,271 Francis Way,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-2-bed-den-at-parkside-spacious-with/6934846390.html,2100,2,1115.0,"

QR Code Link to This Post


Parkside--1603, 271 Francis Way-New Westminster-Victoria Hill

 Property Features:

 SQ.FT.: 1115

 Rent: $2100

 -Spacious 2 Bed & Den, 2 Bath
 -Bright with Good Sunshine
 -Balcony with Views
 -Brand New
 -Secured Parking spot included
 -Secured Storage Locker included

 Amenities

 -Furnished lounge with fully functional kitchen
 -Games Room
 -Guest Suite
 -Theatre Room
 -Gym
 -Outdoor Pool
 -On-Site Caretaker

 Available Anytime. One year lease, then month to month.

 NO smoking, sorry NO PETS allowed and NO Subletting

 * Credit, Employment, and previous landlord references will be checked *

 To set up a viewing time, please contact our Property Manager Jorge via Email at:  show contact info
 including your name, phone number and the address of the property you are inquiring about.

 Please also visit our website at www.ranchovan.com for additional rental listings. 

 Rancho Management Services (B.C.) Ltd.    "
26,Elegant 3 Bed & Den 3 Bath New Westminster-Available Now,838 Royal Avenue,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-elegant-3-bed-den-3/6950516379.html,2600,3,1203.0,"

QR Code Link to This Post


Brickstone Walk 2 -- 34, 838 Royal Avenue New Westminster Downtown Central

 Elegant spacious Two Bedroom

 Property Features:

 Year Built: 2013

 1203 SQ.FT.

 Rent: $2600

 -Spacious 3 Bed & Den 3 Bath
 -Nice Balcony
 -Washer/Dryer in unit
 -Secured Parking Stall Included
 -Secured Storage Locker Included

Outstanding central location just steps to Skytrain, Douglas College, Starbucks, Save-on Foods, Westminster Quay, shops, schools, restaurants & so much more. 

 Available NOW. One Year lease, then month to month

 NO smoking and no Subletting

 *Credit, Employment, and previous landlord references will be checked*

 To set up a viewing time, please contact our Property Manager Jorge via Email at:  show contact info
 including your name, phone number and the address of the property you are inquiring about.

 Please also visit our website at www.ranchovan.com for additional rental listings.

 Rancho Management Services (B.C.) Ltd.    "
27,3 bed end-unit townhouse,New Westminster,Aug  8,https://vancouver.craigslist.org/bnc/reb/d/new-westminster-3-bed-end-unit-townhouse/6952445754.html,800000,3,1766.0,"

QR Code Link to This Post


Reduced Price:$800,000
Open House: Sat/Sun Aug 10/11 from 2-4PM
1-258 Camata St, New Westminster
3 Bed | 3 Bath | 1766 SqFt | End Unit
2 car side by side Garage.
MLS: R2385073.
.
.
Priced to sell: Rarely available in one of the largest homes in Canoe at Port Royal. This beautiful 3 bed/3 bath townhouse offers a bright and excellent floor plan including Stainless Steel Appliances, Gas Cook Top, Hardwood flooring, High Ceilings, Quartz Counter Tops, Flex space upstairs ideal for an office and Side-by-Side Double Car Garage. Close to shops at Queensborough Landing & Market Crossing, Schools and Parks. Fantastic family oriented neighbourhood. Pets and Rentals allowed.

Listing detail below:
https://rennie.com/andymah/listings/1-258-camata-street-new-westminster-bc-v3m-0h8-1
"
28,新建的5房House出租,New Westminster,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-5house/6936534951.html,5000,5,3800.0,"

QR Code Link to This Post


本房子是位于大温哥华地区中心地带的新西敏市，挂靠著名的新西敏中学，附近有Walmark, Douglas学院, 省高院， 靠近新西敏天车站。距离Burnaby的Metrotown只有6.7公里，距离SFC大学13.9公里。到机场24公里，开车不到25分钟。
本独立屋是2018年新建的house，共有3层，最低一层是一个独立出入的1房1厅1厨房的单位。合计有5个房间，3.5个洗手间。位于半山腰上，可以看到美丽的菲沙河，看到美丽的日落景色。
本房子有两个车库，配套齐全的家私电器和wifi，适合注意高尚生活的家庭。
希望爱护房子，没有宠物的家庭租用。租期希望半年以上。
希望8月底或9月1日开始起租，具体面谈或添加我微信联系（微信号：wqz-wang）。    "
29,Close to SFU upstairs 3bedroom $500-$550/room,North Burnaby,Aug  8,https://vancouver.craigslist.org/bnc/roo/d/burnaby-close-to-sfu-upstairs-3bedroom/6952444972.html,0,,,"

QR Code Link to This Post


Upper level of house has three-bedrooms for rent.  Each room is sunny and clean. Monthly rent includes utilities, furniture, and internet.  One washroom is shared between the three units. The two larger rooms are each $550/month, while the smaller room is $500/month.  Close to multiple bus stops, one is across the street and the others is an 8min walk away. The bus ride up to SFU University is 7min if that’s your destination. 
    We are looking for responsible, respectful and clean renters.  
Half month rent deposit required upfront. 
No Smoking and No pets allowed. 

"
30,STORAGE LOCKER FOR RENT - !!,N/A,Aug  8,https://vancouver.craigslist.org/bnc/prk/d/burnaby-storage-locker-for-rent/6947473282.html,50,,,"

QR Code Link to This Post


A secured storage locker for rent

Address: 5788 Sidley St. Burnaby

Location: Underground parking lot (security gated)

Size: 6x2 (approx)

*fob required for access*


please call or text: 778 862 68 16    "
